ID No.,Start Date,Start Date - Month,Start Date - Day,Start Date - Year,End Date,End Date - Month,End Date - Day,End Date - Year,Exhibition Type,Title,Gallery Site,Gallery Terminal,Gallery Area,Gallery Level,Gallery Name
1247,12/03/2012,12,3,2012,02/28/2013,2,28,2013,Photography,Licensed to Race: Cycling in Golden Gate Park’s Polo Field,F03,T3,F,D,F-03 Gate 76
1108,12/01/2011,12,1,2011,02/29/2012,2,29,2012,Photography,Michael Ross: The Road to Timbuktu,F03,T3,F,D,F-03 Gate 76
817,08/01/2005,8,1,2005,09/30/2005,9,30,2005,Student Art,Children s Art: Glide Memorial Methodist Church,A05,T1,A,A,A-05 Terminal One Lower Gallery
1094,08/02/2010,8,2,2010,09/30/2010,9,30,2010,Student Art,Children’s Art: Valley Christian School,C05,T1,C,A,C-05 Terminal One Lower Gallery
1081,03/07/2011,3,7,2011,05/30/2011,5,30,2011,Photography,Noah Beil,F03,T3,F,D,F-03 Gate 76
851,04/01/2006,4,1,2006,05/31/2006,5,31,2006,Student Art,Children s Art: Oasis for Girls,A05,T1,A,A,A-05 Terminal One Lower Gallery
749,03/30/2003,3,30,2003,05/30/2003,5,30,2003,Student Art,"Children s Art: Music of San Francisco, Music of the World",C05,T1,C,A,C-05 Terminal One Lower Gallery
255,09/01/1991,9,1,1991,10/31/1991,10,31,1991,General,The Traditions of the Artisans,G03,T2,D,D,D-03 Central Concourse
762,06/12/2003,6,12,2003,07/31/2003,7,31,2003,Student Art,Children s Art: Faces of First Grade,A05,T1,A,A,A-05 Terminal One Lower Gallery
1446,06/01/2016,6,1,2016,07/31/2016,7,31,2016,Student Art,Student Art: Ruth Asawa San Francisco School of the Arts,A05,T1,A,A,A-05 Terminal One Lower Gallery
400,02/01/1993,2,1,1993,04/01/1993,4,1,1993,Photography,Black Ink Drawings from African American Artists,F03,T3,F,D,F-03 Gate 76
871,01/24/2007,1,24,2007,03/31/2007,3,31,2007,Photography,For Business and Pleasure: The Nineteenth Century Mechanics  Institute s Industrial Fairs,B03,T1,B,D,B-03 Gate 36
1399,03/07/2016,3,7,2016,05/31/2016,5,31,2016,Photography,Janet Delaney,D01,T2,D,D,D-01 Central North Connector
1083,08/03/2009,8,3,2009,01/29/2010,1,29,2010,Photography,Blake Tucker: Into the West II,D05,T2,D,D,D-05 Central South Connector
675,01/16/2003,1,16,2003,02/06/2003,2,6,2003,Student Art,Children s Art: McKinley Elementary School,C05,T1,C,A,C-05 Terminal One Lower Gallery
1509,03/03/2017,3,3,2017,06/23/2017,6,23,2017,Aviation,Aviation Calendar Poster,K04B,IT,A,D,AML Aviation Museum Gallery 04b Special Collections Room
1234,08/01/2012,8,1,2012,09/28/2012,9,28,2012,Student Art,Children’s Art: Coach Art,C05,T1,C,A,C-05 Terminal One Lower Gallery
1340,06/02/2014,6,2,2014,08/29/2014,8,29,2014,Photography,Hong Kong Yesterday: Photographs from 1950s–60s by Fan Ho,D01,T2,D,D,D-01 Central North Connector
1028,03/01/2010,3,1,2010,05/31/2010,5,31,2010,Photography,A Cultural Aesthetic: Works by Imogen Cunningham 1920-1970,F03,T3,F,D,F-03 Gate 76
1283,12/02/2013,12,2,2013,02/28/2014,2,28,2014,Photography,Ruins on the Coastal Edge: Views from San Francisco’s Sutro Baths by Kenneth Leaf,F03,T3,F,D,F-03 Gate 76
